gene_name,sample_name,season,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
adeJ,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000781,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,phenicol antibiotic; rifamycin antibiotic; lincosamide antibiotic; tetracycline antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,82,ARO:3000781|ID:630|Name:adeJ|NCBI:AY769962.1,58.04,1.61,Acinetobacter johnsonii (chromosome): 2; ,11082292,28.69,0.56
adeK,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000782,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,phenicol antibiotic; rifamycin antibiotic; lincosamide antibiotic; tetracycline antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,18,ARO:3000782|ID:1664|Name:adeK|NCBI:AY769962.1,32.23,0.41,,11082292,6.3,0.14
arnA,Influent_WWTP_2_14_24_MH4_S342,wet,pmr phosphoethanolamine transferase,ARO:3002985,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,5,ARO:3002985|ID:1643|Name:arnA|NCBI:AE004091.2,23.13,0.15,,11082292,1.75,0.05
arr-1,Influent_WWTP_2_14_24_MH4_S342,wet,rifampin ADP-ribosyltransferase (Arr),ARO:3002846,rifamycin antibiotic,rifamycin antibiotic,antibiotic inactivation,protein homolog,1,Nudged,4.8611,100,,,,,,,11082292,0,0
bacA,Influent_WWTP_2_14_24_MH4_S342,wet,undecaprenyl pyrophosphate related proteins,ARO:3002986,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,21.1679,98.28,,6,ARO:3002986|ID:1820|Name:bacA|NCBI:U00096.3,43.31,0.28,,11082292,2.1,0.1
baeR,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000828,aminoglycoside antibiotic; aminocoumarin antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2,ARO:3000828|ID:1337|Name:baeR|NCBI:AP009048.1,41.77,0.42,,11082292,0.7,0.15
bcrA,Influent_WWTP_2_14_24_MH4_S342,wet,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3002987,peptide antibiotic,peptide antibiotic,antibiotic efflux,protein homolog,1,Nudged,2.6059,100,,,,,,,11082292,0,0
blaR1,Influent_WWTP_2_14_24_MH4_S342,wet,BlaZ beta-lactamase,ARO:3000217,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,1.1885,100,,,,,,,11082292,0,0
catB3,Influent_WWTP_2_14_24_MH4_S342,wet,chloramphenicol acetyltransferase (CAT),ARO:3002676,phenicol antibiotic,phenicol antibiotic,antibiotic inactivation,protein homolog,1,Nudged,36.019,100,Unknown taxonomy (chromosome or plasmid),4,ARO:3002676|ID:150|Name:catB3|NCBI:JX101693.1,36.33,0.95,,11082292,1.4,0.33
cmlA9,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3005043,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,0,,,,,7,ARO:3005043|ID:3786|Name:cmlA9|NCBI:AY963803.6,42.47,0.87,Aeromonas caviae (chromosome): 1; ,11082292,2.45,0.3
cmlB1,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3002699,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,3,Nudged,30.0948,98.75,Unknown taxonomy (chromosome or plasmid),6,ARO:3002699|ID:1038|Name:cmlB1|NCBI:AM296481.1,46.37,0.61,,11082292,2.1,0.21
cph,Influent_WWTP_2_14_24_MH4_S342,wet,capreomycin phosphotransferase,ARO:3007075,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,ARO:3007075|ID:5768|Name:cph|NCBI:U13078.1,2.25,0.02,,11082292,0.35,0.01
cphA2,Influent_WWTP_2_14_24_MH4_S342,wet,CphA beta-lactamase,ARO:3003099,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3003099|ID:1428|Name:cphA2|NCBI:U60294.1,24.84,0.39,Aeromonas (chromosome): 2; ,11082292,1.05,0.14
cphA7,Influent_WWTP_2_14_24_MH4_S342,wet,CphA beta-lactamase,ARO:3003103,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3003103|ID:143|Name:cphA7|NCBI:AY227053.1,58.3,0.39,Aeromonas veronii (chromosome): 1; ,11082292,1.05,0.14
cpxA,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000830,aminoglycoside antibiotic; aminocoumarin antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.31,100,,5,ARO:3000830|ID:152|Name:cpxA|NCBI:BA000007.3,43.3,0.55,,11082292,1.75,0.19
dfrA14,Influent_WWTP_2_14_24_MH4_S342,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3002859,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Nudged,44.9367,100,Unknown taxonomy (chromosome or plasmid),6,ARO:3002859|ID:1592|Name:dfrA14|NCBI:KF921535.1,77.43,1.26,,11082292,2.1,0.44
dfrA16,Influent_WWTP_2_14_24_MH4_S342,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3003014,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,ARO:3003014|ID:598|Name:dfrA16|NCBI:AF174129.3,61.39,0.61,,11082292,0.7,0.21
dfrA3,Influent_WWTP_2_14_24_MH4_S342,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3003105,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,ARO:3003105|ID:511|Name:dfrA3|NCBI:J03306.1,18.2,0.24,,11082292,0.7,0.08
dfrF,Influent_WWTP_2_14_24_MH4_S342,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3002867,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,ARO:3002867|ID:5|Name:dfrF|NCBI:AF028812.1,37.17,0.37,,11082292,0.7,0.13
emrB,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000074,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,8,ARO:3000074|ID:1847|Name:emrB|NCBI:U00096.1,33.72,0.57,,11082292,2.8,0.2
eptA,Influent_WWTP_2_14_24_MH4_S342,wet,pmr phosphoethanolamine transferase,ARO:3003576,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,ARO:3003576|ID:516|Name:eptA|NCBI:AP009048.1,18.37,0.18,,11082292,0.7,0.06
floR,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3002705,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,0,,,,,1,ARO:3002705|ID:522|Name:floR|NCBI:AF231986.2,12.43,0.12,,11082292,0.35,0.04
fosA5,Influent_WWTP_2_14_24_MH4_S342,wet,fosfomycin thiol transferase,ARO:3003209,fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic,phosphonic acid antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,5.7143,100,,,,,,,11082292,0,0
gimA,Influent_WWTP_2_14_24_MH4_S342,wet,gimA family macrolide glycosyltransferase,ARO:3000463,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,1.6746,100,,,,,,,11082292,0,0
leuO,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3003843,nucleoside antibiotic; disinfecting agents and antiseptics,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,1,ARO:3003843|ID:5921|Name:leuO|NCBI:LR730402.1,5.82,0.06,,11082292,0.35,0.02
marA,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams,ARO:3000263,fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,beta-lactam antibiotic; phenicol antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics; tetracycline antibiotic,antibiotic efflux; reduced permeability to antibiotic,protein homolog,1,Nudged,26.5625,100,Citrobacter amalonaticus (chromosome),1,ARO:3000263|ID:1922|Name:marA|NCBI:AP009048.1,27.08,0.27,Citrobacter amalonaticus (chromosome): 1; ,11082292,0.35,0.09
mdtB,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000793,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,15,ARO:3000793|ID:820|Name:mdtB|NCBI:U00096.1,26.96,0.14,Escherichia coli (chromosome or plasmid): 1; ,11082292,5.25,0.05
mdtC,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000794,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,6,ARO:3000794|ID:1315|Name:mdtC|NCBI:U00096.1,19.53,0.1,,11082292,2.1,0.03
mdtE,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000795,macrolide antibiotic; fluoroquinolone antibiotic; penam,macrolide antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,2,ARO:3000795|ID:1903|Name:mdtE|NCBI:AP009048.1,26.08,0.26,,11082292,0.7,0.09
mdtF,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000796,macrolide antibiotic; fluoroquinolone antibiotic; penam,macrolide antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,10,ARO:3000796|ID:121|Name:mdtF|NCBI:U00096.1,28.48,0.29,Escherichia coli (chromosome): 3; Aeromonas veronii (chromosome): 2; Aeromonas (chromosome): 1; ,11082292,3.5,0.1
mdtG,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001329,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.467,100,,,,,,,11082292,0,0
mdtM,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001214,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; fluoroquinolone antibiotic; nucleoside antibiotic; disinfecting agents and antiseptics; lincosamide antibiotic,antibiotic efflux,protein homolog,1,Nudged,21.8978,100,Unknown taxonomy (chromosome or plasmid),2,ARO:3001214|ID:1191|Name:mdtM|NCBI:U00096.3,22.06,0.24,,11082292,0.7,0.08
mecR1,Influent_WWTP_2_14_24_MH4_S342,wet,methicillin resistant PBP2,ARO:3000215,penam,beta-lactam antibiotic,antibiotic target replacement,protein homolog,1,Nudged,1.3652,100,,,,,,,11082292,0,0
mefC,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3003745,macrolide antibiotic,macrolide antibiotic,antibiotic efflux,protein homolog,2,Nudged,83.3333,99.07,,53,ARO:3003745|ID:2262|Name:mefC|NCBI:AB571865.1,98.69,6.36,,11082292,18.54,2.22
mefJ,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3007049,macrolide antibiotic,macrolide antibiotic,antibiotic efflux,protein homolog,2,Nudged,83.1658,99.765,Unknown taxonomy (chromosome),31,ARO:3007049|ID:5748|Name:mefJ|NCBI:CP065927.1,96.82,3.04,Streptococcus uberis (chromosome): 3; ,11082292,10.84,1.06
mel,Influent_WWTP_2_14_24_MH4_S342,wet,msr-type ABC-F protein,ARO:3000616,macrolide antibiotic; streptogramin antibiotic,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,1,Nudged,15.7635,95.31,Klebsiella pneumoniae (chromosome),43,ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1,100,4.32,Klebsiella pneumoniae (chromosome): 4; Streptococcus pneumoniae (chromosome): 1; Streptococcus suis (chromosome): 1; ,11082292,15.04,1.51
mexN,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003705,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,0,,,,,12,ARO:3003705|ID:2217|Name:mexN|NCBI:AB219523.1,38.06,0.1,,11082292,4.2,0.03
mexQ,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003699,macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,macrolide antibiotic; phenicol antibiotic; tetracycline antibiotic; diaminopyrimidine antibiotic; disinfecting agents and antiseptics; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,14,ARO:3003699|ID:2212|Name:mexQ|NCBI:AB219524.1,34.85,0.14,Pseudomonas fluorescens (chromosome): 1; ,11082292,4.9,0.05
mgtA,Influent_WWTP_2_14_24_MH4_S342,wet,mgt macrolide glycotransferase,ARO:3000462,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,1.6706,100,,,,,,,11082292,0,0
mphA,Influent_WWTP_2_14_24_MH4_S342,wet,macrolide phosphotransferase (MPH),ARO:3000316,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Strict,95.6954,100,Unknown taxonomy (chromosome or plasmid),33,ARO:3000316|ID:1243|Name:mphA|NCBI:D16251.1,95.81,4.92,,11082292,11.54,1.72
mphB,Influent_WWTP_2_14_24_MH4_S342,wet,macrolide phosphotransferase (MPH),ARO:3000318,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3000318|ID:1731|Name:mphB|NCBI:D85892.1,33.11,0.5,,11082292,2.1,0.17
mphE,Influent_WWTP_2_14_24_MH4_S342,wet,macrolide phosphotransferase (MPH),ARO:3003741,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.661,100,Unknown taxonomy (chromosome or plasmid),984,ARO:3003741|ID:2614|Name:mphE|NCBI:DQ839391.1,100,152.66,,11082292,344.23,53.4
mphF,Influent_WWTP_2_14_24_MH4_S342,wet,macrolide phosphotransferase (MPH),ARO:3003071,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3003071|ID:473|Name:mphF|NCBI:AM260957.1,24.33,0.34,,11082292,0.7,0.12
mphG,Influent_WWTP_2_14_24_MH4_S342,wet,macrolide phosphotransferase (MPH),ARO:3003742,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,2,Nudged,91.5254,99.585,Elizabethkingia anophelis (no genomic info),25,ARO:3003742|ID:2259|Name:mphG|NCBI:AB571865.1,92.2,4.12,,11082292,8.75,1.44
msbA,Influent_WWTP_2_14_24_MH4_S342,wet,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003950,nitroimidazole antibiotic,nitroimidazole antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.5437,100,,2,ARO:3003950|ID:2423|Name:msbA|NCBI:U00096.3,7.6,0.15,Enterobacter (chromosome): 2; ,11082292,0.7,0.05
msr(I),Influent_WWTP_2_14_24_MH4_S342,wet,msr-type ABC-F protein,ARO:3007043,macrolide antibiotic; streptogramin antibiotic; phosphonic acid antibiotic,macrolide antibiotic; streptogramin antibiotic; phosphonic acid antibiotic,antibiotic target protection,protein homolog,0,,,,,10,ARO:3007043|ID:5744|Name:msr(I)|NCBI:CP065927.1,39.03,0.79,,11082292,3.5,0.28
msrE,Influent_WWTP_2_14_24_MH4_S342,wet,msr-type ABC-F protein,ARO:3003109,macrolide antibiotic; streptogramin antibiotic,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,1,Perfect,99.7967,100,Unknown taxonomy (chromosome or plasmid),1884,ARO:3003109|ID:33|Name:msrE|NCBI:EU294228.1,100,181.66,Acinetobacter baumannii (chromosome or plasmid): 1; Klebsiella pneumoniae (chromosome or plasmid): 1; ,11082292,659.07,63.55
oqxB,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003923,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,fluoroquinolone antibiotic; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,antibiotic efflux,protein homolog,0,,,,,9,ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1,27.94,0.24,Klebsiella (chromosome): 4; ,11082292,3.15,0.08
otr(B),Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3002892,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.0638,100,,,,,,,11082292,0,0
patA,Influent_WWTP_2_14_24_MH4_S342,wet,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3000024,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,6,ARO:3000024|ID:2081|Name:patA|NCBI:AE005672.3,16.28,0.18,Streptococcus (chromosome): 1; Streptococcus (no genomic information): 1; ,11082292,2.1,0.06
pexA,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004666,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.6827,100,,,,,,,11082292,0,0
poxtA,Influent_WWTP_2_14_24_MH4_S342,wet,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,ARO:3004470,tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic,phenicol antibiotic; oxazolidinone antibiotic; tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,25,ARO:3004470|ID:2904|Name:poxtA|NCBI:MF095097.1,4.36,0.01,,11082292,8.75,0
qacEdelta1,Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3005010,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Perfect,99.1379,100,Unknown taxonomy (chromosome or plasmid),29,ARO:3005010|ID:3755|Name:qacEdelta1|NCBI:U49101.1,100,10.6,Enterobacter chengduensis (chromosome or plasmid): 1; ,11082292,10.14,3.71
qacG,Influent_WWTP_2_14_24_MH4_S342,wet,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3007015,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,5,Strict,98.1481,47.326,Elizabethkingia anophelis (chromosome) Moraxella osloensis (chromosome) Acinetobacter johnsonii (chromosome) Unknown taxonomy (chromosome or plasmid),,,,,,11082292,0,0
qacL,Influent_WWTP_2_14_24_MH4_S342,wet,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3005098,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,99.0991,98.18,Pseudomonas aeruginosa (chromosome or plasmid),10,ARO:3005098|ID:3830|Name:qacL|NCBI:DQ149925.1,100,3.74,Enterobacter kobei (plasmid): 1; Pseudomonas aeruginosa (plasmid): 1; ,11082292,3.5,1.31
rpoB2,Influent_WWTP_2_14_24_MH4_S342,wet,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3000501,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,1,Nudged,0.6879,100,,22,ARO:3000501|ID:2831|Name:rpoB2|NCBI:AP006618.1,25.54,0.26,,11082292,7.7,0.09
rsmA,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3005069,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; diaminopyrimidine antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,2,Strict,98.3871,86.48,,,,,,,11082292,0,0
smeB,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003052,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,aminoglycoside antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,11,ARO:3003052|ID:1960|Name:smeB|NCBI:AF173226.1,26.83,0.1,Aeromonas hydrophila (chromosome): 1; Pseudomonas fluorescens (chromosome): 1; ,11082292,3.85,0.03
smeD,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003055,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,macrolide antibiotic; phenicol antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,2.5316,100,,,,,,,11082292,0,0
smeE,Influent_WWTP_2_14_24_MH4_S342,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003056,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,macrolide antibiotic; phenicol antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,36,ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1,44.92,0.63,Aeromonas hydrophila (chromosome): 5; Aeromonas veronii (chromosome): 2; ,11082292,12.59,0.22
sul1,Influent_WWTP_2_14_24_MH4_S342,wet,sulfonamide resistant sul,ARO:3000410,sulfonamide antibiotic,sulfonamide antibiotic,antibiotic target replacement,protein homolog,1,Perfect,99.6429,100,Unknown taxonomy (chromosome or plasmid),63,ARO:3000410|ID:1070|Name:sul1|NCBI:JF969163.1,100,10.68,Escherichia coli (chromosome or plasmid): 2; ,11082292,22.04,3.74
sul2,Influent_WWTP_2_14_24_MH4_S342,wet,sulfonamide resistant sul,ARO:3000412,sulfonamide antibiotic,sulfonamide antibiotic,antibiotic target replacement,protein homolog,1,Nudged,51.1029,100,Bacteroides ovatus (chromosome or plasmid),9,ARO:3000412|ID:952|Name:sul2|NCBI:AY055428.1,81.86,1.39,Bacteroides ovatus (chromosome or plasmid): 1; ,11082292,3.15,0.49
tet(32),Influent_WWTP_2_14_24_MH4_S342,wet,tetracycline-resistant ribosomal protection protein,ARO:3000196,tetracycline antibiotic,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,8,ARO:3000196|ID:1233|Name:tet(32)|NCBI:EU722333.1,38.12,0.6,,11082292,2.8,0.21
tet(39),Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000566,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.7475,100,Unknown taxonomy (plasmid),346,ARO:3000566|ID:1092|Name:tet(39)|NCBI:AY743590.1,100,40.33,,11082292,121.04,14.11
tet(40),Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000567,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,2,Nudged,60.4423,98.385,Unknown taxonomy (chromosome),18,ARO:3000567|ID:945|Name:tet(40)|NCBI:AM419751.1,77.31,2.04,,11082292,6.3,0.71
tet(44),Influent_WWTP_2_14_24_MH4_S342,wet,tetracycline-resistant ribosomal protection protein,ARO:3000556,tetracycline antibiotic,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2,ARO:3000556|ID:1171|Name:tet(44)|NCBI:FN594949.1,15.7,0.16,Erysipelatoclostridium ramosum (chromosome): 1; ,11082292,0.7,0.06
tet(A),Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000165,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,6.8235,100,Unknown taxonomy (chromosome or plasmid),21,ARO:3000165|ID:1808|Name:tet(A)|NCBI:AF534183.1,85.25,1.76,,11082292,7.35,0.62
tet(C),Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000167,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7481,99.75,Unknown taxonomy (chromosome or plasmid),26,ARO:3000167|ID:900|Name:tet(C)|NCBI:AY043299.1,100,3.11,,11082292,9.1,1.09
tet(E),Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000173,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,2,Nudged,28.8177,98.75,Unknown taxonomy (chromosome or plasmid) Aeromonas (chromosome or plasmid),10,ARO:3000173|ID:142|Name:tet(E)|NCBI:L06940.1,49.67,0.98,Aeromonas (chromosome or plasmid): 4; ,11082292,3.5,0.34
tet(G),Influent_WWTP_2_14_24_MH4_S342,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000174,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,19,ARO:3000174|ID:957|Name:tet(G)|NCBI:AF133139.1,79.08,2.06,Pseudomonas aeruginosa (chromosome or plasmid): 1; ,11082292,6.65,0.72
tet(M),Influent_WWTP_2_14_24_MH4_S342,wet,tetracycline-resistant ribosomal protection protein,ARO:3000186,tetracycline antibiotic,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,ARO:3000186|ID:1692|Name:tet(M)|NCBI:AB039845.1,30.42,0.47,,11082292,2.1,0.16
tet(O),Influent_WWTP_2_14_24_MH4_S342,wet,tetracycline-resistant ribosomal protection protein,ARO:3000190,tetracycline antibiotic,tetracycline antibiotic,antibiotic target protection,protein homolog,3,Strict,84.375,98.39666667,Unknown taxonomy (chromosome or plasmid),40,ARO:3000190|ID:2020|Name:tet(O)|NCBI:M18896.2,92.4,3.05,,11082292,13.99,1.07
